Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,Daily_Return,Daily_Return_2,Daily_Return_5,Price_to_SMA20,Price_to_SMA50,SMA20_to_SMA50,Volatility_7,Volatility_20,Volume_to_Avg20,BB_Position,Momentum_10,Target_Next_Day_Return,Target_Is_Up
2024-02-13 00:00:00+00:00,49941.359375,50358.390625,48406.49609375,49742.44140625,35593051468,44242.1720703125,43514.68484375,77.19632788314941,1683.6968694303214,889.7069281612834,793.989941269038,49883.09524585057,44242.1720703125,38601.248894774435,-0.004319233922406296,0.02999391017389197,0.09802917100427933,1.124321864830599,1.1431185032101752,1.0167182005149462,0.015453809256623185,0.017353178906222604,1.6346304647040315,0.9875327286666021,0.15700949371689088,0.041900916949929146,1
2024-02-14 00:00:00+00:00,49733.4453125,52021.37109375,49296.83203125,51826.6953125,39105608050,44836.81640625,43700.810703125,81.32638316487504,1991.6381762260062,1110.093177774228,881.5449984517782,51044.38440250111,44836.81640625,38629.24840999889,0.041900916949929146,0.037400703165652915,0.0992528966999382,1.1558959682355068,1.1859435666898035,1.0259950715981516,0.01727536373028884,0.018296398770111216,1.714777455458054,1.063012673439207,0.2170581440158541,0.0021583350882306007,1
2024-02-15 00:00:00+00:00,51836.78515625,52820.06640625,51371.62890625,51938.5546875,38564360533,45342.9005859375,43870.7246875,81.51983081893908,2219.129256465065,1331.9003935123956,887.2288629526693,52136.523292404534,45342.9005859375,38549.27787947047,0.0021583350882306007,0.0441496882574417,0.0872339526063608,1.1454616713163703,1.1839000850218175,1.0335571365397793,0.0189580477065986,0.016598944258274934,1.6442989693013117,0.9854298204758941,0.21753812673072837,0.004267512618200353,1
2024-02-16 00:00:00+00:00,51937.7265625,52537.96875,51641.3671875,52160.203125,28180567298,45844.9080078125,44061.371640625,81.91951960054021,2389.7551433308254,1543.4713434760815,846.2837998547438,53103.686638022176,45844.9080078125,38586.12937760282,0.004267512618200353,0.006435058428654328,0.08005739270836942,1.1377534690681745,1.1838079747137922,1.0404784576779507,0.017197642644837724,0.01664797846666041,1.1601115582529338,0.935010863322407,0.2106440841961268,-0.009532306269177337,0
2024-02-17 00:00:00+00:00,52161.67578125,52191.9140625,50669.66796875,51662.99609375,20009091006,46326.278125,44252.643515625,77.8518806709838,2456.5394779170383,1726.084970364273,730.4545075527653,53795.256766905295,46326.278125,38857.2994830947,-0.009532306269177337,-0.005305472888261109,0.03412398093563329,1.1151985047093615,1.1674555911108113,1.0468589997034374,0.01951028909981896,0.01703509846744385,0.8184091578084427,0.857258885358697,0.16572806843968046,0.008895163192163213,1
2024-02-18 00:00:00+00:00,51661.96875,52356.96484375,51233.70703125,52122.546875,17595377311,46767.9931640625,44451.95640625,78.89497091582724,2517.527956476988,1884.373567586816,633.154388890172,54520.027173038514,46767.9931640625,39015.959155086486,0.008895163192163213,-0.0007219344968760755,0.047848585663729626,1.1144918425760473,1.1725591197527474,1.0521020208119989,0.019533813074495004,0.016418778597074992,0.7242354203045779,0.8453644362716616,0.15056831385435165,-0.006588364620277343,0
2024-02-19 00:00:00+00:00,52134.8125,52483.32421875,51711.8203125,51779.14453125,21362184346,47209.319921875,44642.235546875,76.01403725423968,2509.2272560584024,2009.3443052811335,499.8829507772689,55051.255061492164,47209.319921875,39367.38478225784,-0.006588364620277343,0.002248193993419134,-0.0009174959152475903,1.0967992044142436,1.1598689872258108,1.057503490664228,0.01740370721155833,0.016356453242454962,0.8837912078041775,0.7913709771895725,0.09824433665739196,0.009767068832988945,1
2024-02-20 00:00:00+00:00,51777.7265625,52945.05078125,50792.3125,52284.875,33353758256,47694.4333984375,44804.58640625,77.32711737137738,2514.471847185625,2110.369813662032,404.10203352359304,55531.64313289347,47694.4333984375,39857.223663981524,0.009767068832988945,0.003114355201968344,0.006667885053477374,1.0962469050258785,1.1669536356373227,1.0644989101335478,0.016919873248148302,0.01579090776817271,1.3555637724412826,0.7928619851387168,0.09448350362857783,-0.008524364120598982,0
2024-02-21 00:00:00+00:00,52273.53515625,52368.81640625,50671.7578125,51839.1796875,28624907020,48132.6037109375,44942.210625,73.50792223877949,2454.371865479763,2179.170224025578,275.20164145418494,55861.712810746954,48132.6037109375,40403.49461112805,-0.008524364120598982,0.00115944666126655,-0.006154566475339074,1.0770075934146945,1.1534630577042293,1.0709887885257425,0.008208712746330808,0.01634420193031972,1.1465955515736184,0.7397802857158451,0.07341010768776446,-0.010305082651198116,0
2024-02-22 00:00:00+00:00,51854.64453125,52009.61328125,50926.29296875,51304.97265625,25413900611,48538.559375,45111.3465625,69.10247650266328,2336.70012956515,2210.6762051334927,126.02392443165718,56022.69699632547,48538.559375,41054.42175367453,-0.010305082651198116,-0.018741602494985354,-0.006929978215942323,1.0569941365559947,1.1372964135568193,1.075972301286811,0.008992782391312355,0.016873205280415617,1.0042784038460504,0.6848184400943752,0.026957524275165845,-0.011168964874795462,0
2024-02-23 00:00:00+00:00,51283.90625,51497.93359375,50561.77734375,50731.94921875,21427078270,48925.5443359375,45242.387109375,64.628176691356,2172.1668414033775,2202.97433238747,-30.80749098409251,55990.84523562103,48925.5443359375,41860.243436253964,-0.011168964874795462,-0.021358950419830602,-0.026679388088708067,1.0369215081269036,1.1213367034790582,1.0814094361921784,0.009171507626861248,0.017212700487583957,0.8299110288876523,0.6278363730335542,0.019892626588603024,0.016540904827679226,1
2024-02-24 00:00:00+00:00,50736.37109375,51684.1953125,50585.4453125,51571.1015625,15174077879,49374.9203125,45390.5553125,67.90547197385067,2085.4458841808737,2179.4686427461506,-94.02275856527694,55861.38357091727,49374.9203125,42888.457054082726,0.016540904827679226,0.005187195167866143,-0.004017891192166001,1.0444796920400092,1.1361637064682033,1.0877796046461399,0.011509846778379304,0.016762139276301487,0.5872976378156481,0.669289577579129,-0.004931700708656894,0.003143945229742817,1
